id,marker,meanrr,medianrr,meanhr,sdnn,rmssd,nn50,p_nn50,vlf_percent,lf_percent,hf_percent,lf_hf,lf_n_u,hf_n_u,vlf_abs,lf_abs,hf_abs,recordingtime_s
palacsinta,baseline,686.8452,664.0625,87.3559,77.3828,41.9985,33,19.186,22.2187,57.1067,20.6746,2.7622,73.4196,26.5804,1089.1486,2799.3343,1013.4551,118.1374
palacsinta,cognitive,737.3882,726.5625,81.3683,76.804,52.5539,136,26.1036,30.3393,41.2794,28.3813,1.4545,59.2578,40.7422,1442.4013,1962.5149,1349.3112,384.1793
palacsinta,physical,724.0811,718.75,82.8636,73.4034,55.6332,45,27.1084,62.6688,22.1306,15.2006,1.4559,59.2818,40.7182,3740.7889,1321.0052,907.3453,120.1975
paprikaskrumpli,baseline,1016.5005,1007.8125,59.026,40.6246,34.2388,15,12.931,23.1141,50.3097,26.5761,1.893,65.4343,34.5657,425.1854,925.4498,488.8694,117.9141
paprikaskrumpli,cognitive,908.8264,914.0625,66.0192,81.3767,58.7847,142,33.0233,52.0631,24.0782,23.8586,1.0092,50.229,49.771,2741.9652,1268.1073,1256.5422,390.7953
paprikaskrumpli,physical,829.4181,812.5,72.3399,78.5525,54.076,36,24.8276,14.2609,55.4369,30.3022,1.8295,64.6576,35.3424,1093.2721,4249.915,2323.0386,120.2656
paradicsomos teszta,baseline,729.8696,726.5625,82.2065,45.4292,34.7128,24,14.7239,8.4175,25.435,66.1475,0.3845,27.7728,72.2272,99.7109,301.2928,783.5575,118.9688
paradicsomos teszta,cognitive,779.8527,789.0625,76.9376,60.3348,42.6092,134,26.9076,35.7711,25.1219,39.1069,0.6424,39.1131,60.8869,1083.1707,760.7064,1184.1804,388.3667
paradicsomos teszta,physical,724.772,726.5625,82.7847,67.2913,39.355,28,16.9697,26.4146,57.1169,16.4685,3.4682,77.6199,22.3801,1227.5753,2654.4109,765.3468,119.5874
pillango,baseline,705.4641,703.125,85.0504,39.2551,20.881,4,2.3952,61.3391,27.992,10.6689,2.6237,72.4039,27.5961,675.8698,308.4323,117.5564,117.8125
pillango,cognitive,713.222,718.75,84.1253,34.5882,17.371,0,0,47.3637,38.835,13.8014,2.8138,73.7798,26.2202,323.0897,264.9114,94.1455,387.2796
pillango,physical,647.867,648.4375,92.6116,32.773,15.3477,2,1.0309,22.452,71.8752,5.6728,12.6702,92.6848,7.3152,205.3166,657.2777,51.8761,125.6862
pingvin,baseline,849.2581,843.75,70.6499,81.4697,31.8347,14,10.0719,30.4377,63.2745,6.2878,10.063,90.9608,9.0392,1244.7659,2587.6428,257.1449,118.0469
pingvin,cognitive,810.7694,812.5,74.0038,61.6248,25.2119,25,5.2301,62.322,31.1369,6.5411,4.7602,82.6395,17.3605,1922.1122,960.3145,201.7385,387.5478
